#,name,long name
1,inuse,ESWC'2016 In-Use & Industrial Track
2,research,ESWC'2016 Research Tracks
3,workshops,Workshops
4,tutorials,Tutorials
5,challenges,Challenges
6,eu,EU Networking
7,plenary,Plenary
